"","dt","AverageTemperature","Country"
"1",2012-01-01,5.145,"Andorra"
"2",2012-02-01,1.705,"Andorra"
"3",2012-03-01,9.405,"Andorra"
"4",2012-04-01,9.752,"Andorra"
"5",2012-05-01,15.136,"Andorra"
"6",2012-06-01,18.817,"Andorra"
"7",2012-07-01,20.512,"Andorra"
"8",2012-08-01,22.514,"Andorra"
"9",2012-09-01,17.539,"Andorra"
"10",2012-10-01,13.261,"Andorra"
"11",2012-11-01,8.62,"Andorra"
"12",2012-12-01,5.673,"Andorra"
"13",2012-01-01,23.29,"Argentina"
"14",2012-02-01,21.487,"Argentina"
"15",2012-03-01,19.34,"Argentina"
"16",2012-04-01,14.663,"Argentina"
"17",2012-05-01,12.433,"Argentina"
"18",2012-06-01,8.353,"Argentina"
"19",2012-07-01,6.98,"Argentina"
"20",2012-08-01,10.842,"Argentina"
"21",2012-09-01,13.931,"Argentina"
"22",2012-10-01,16.311,"Argentina"
"23",2012-11-01,19.677,"Argentina"
"24",2012-12-01,20.961,"Argentina"
"25",2012-01-01,-2.78,"Armenia"
"26",2012-02-01,-5.479,"Armenia"
"27",2012-03-01,0.363,"Armenia"
"28",2012-04-01,12.004,"Armenia"
"29",2012-05-01,16.084,"Armenia"
"30",2012-06-01,20.418,"Armenia"
"31",2012-07-01,22.252,"Armenia"
"32",2012-08-01,23.687,"Armenia"
"33",2012-09-01,18.592,"Armenia"
"34",2012-10-01,13.265,"Armenia"
"35",2012-11-01,6.766,"Armenia"
"36",2012-12-01,-0.963,"Armenia"
"37",2012-01-01,27.904,"Australia"
"38",2012-02-01,27.2,"Australia"
"39",2012-03-01,24.699,"Australia"
"40",2012-04-01,22.208,"Australia"
"41",2012-05-01,17.762,"Australia"
"42",2012-06-01,14.674,"Australia"
"43",2012-07-01,14.027,"Australia"
"44",2012-08-01,16.408,"Australia"
"45",2012-09-01,20.474,"Australia"
"46",2012-10-01,23.586,"Australia"
"47",2012-11-01,26.935,"Australia"
"48",2012-12-01,28.417,"Australia"
"49",2012-01-01,22.52,"Bahamas"
"50",2012-02-01,23.599,"Bahamas"
"51",2012-03-01,24.291,"Bahamas"
"52",2012-04-01,24.488,"Bahamas"
"53",2012-05-01,26.476,"Bahamas"
"54",2012-06-01,27.932,"Bahamas"
"55",2012-07-01,28.748,"Bahamas"
"56",2012-08-01,28.988,"Bahamas"
"57",2012-09-01,28.259,"Bahamas"
"58",2012-10-01,26.903,"Bahamas"
"59",2012-11-01,23.789,"Bahamas"
"60",2012-12-01,23.804,"Bahamas"
"61",2012-01-01,16.301,"Bahrain"
"62",2012-02-01,17.295,"Bahrain"
"63",2012-03-01,19.899,"Bahrain"
"64",2012-04-01,26.471,"Bahrain"
"65",2012-05-01,33.398,"Bahrain"
"66",2012-06-01,35.773,"Bahrain"
"67",2012-07-01,37.471,"Bahrain"
"68",2012-08-01,36.749,"Bahrain"
"69",2012-09-01,33.648,"Bahrain"
"70",2012-10-01,30.131,"Bahrain"
"71",2012-11-01,24.035,"Bahrain"
"72",2012-12-01,19.181,"Bahrain"
"73",2012-01-01,4.425,"Belgium"
"74",2012-02-01,0.116,"Belgium"
"75",2012-03-01,8.578,"Belgium"
"76",2012-04-01,8.408,"Belgium"
"77",2012-05-01,14.479,"Belgium"
"78",2012-06-01,15.301,"Belgium"
"79",2012-07-01,17.617,"Belgium"
"80",2012-08-01,19.277,"Belgium"
"81",2012-09-01,14.538,"Belgium"
"82",2012-10-01,10.501,"Belgium"
"83",2012-11-01,6.583,"Belgium"
"84",2012-12-01,4.399,"Belgium"
"85",2012-01-01,23.54,"Belize"
"86",2012-02-01,24.673,"Belize"
"87",2012-03-01,25.464,"Belize"
"88",2012-04-01,26.86,"Belize"
"89",2012-05-01,27.61,"Belize"
"90",2012-06-01,27.307,"Belize"
"91",2012-07-01,26.806,"Belize"
"92",2012-08-01,26.893,"Belize"
"93",2012-09-01,27.05,"Belize"
"94",2012-10-01,25.326,"Belize"
"95",2012-11-01,23.542,"Belize"
"96",2012-12-01,23.742,"Belize"
"97",2012-01-01,22.889,"Bolivia"
"98",2012-02-01,22.507,"Bolivia"
"99",2012-03-01,22.394,"Bolivia"
"100",2012-04-01,21.71,"Bolivia"
"101",2012-05-01,19.898,"Bolivia"
"102",2012-06-01,18.334,"Bolivia"
"103",2012-07-01,17.679,"Bolivia"
"104",2012-08-01,20.173,"Bolivia"
"105",2012-09-01,22.869,"Bolivia"
"106",2012-10-01,23.905,"Bolivia"
"107",2012-11-01,23.592,"Bolivia"
"108",2012-12-01,23.336,"Bolivia"
"109",2012-01-01,25.399,"Brazil"
"110",2012-02-01,25.653,"Brazil"
"111",2012-03-01,25.783,"Brazil"
"112",2012-04-01,25.675,"Brazil"
"113",2012-05-01,24.891,"Brazil"
"114",2012-06-01,24.578,"Brazil"
"115",2012-07-01,24.171,"Brazil"
"116",2012-08-01,25.349,"Brazil"
"117",2012-09-01,26.728,"Brazil"
"118",2012-10-01,27.12,"Brazil"
"119",2012-11-01,26.683,"Brazil"
"120",2012-12-01,26.575,"Brazil"
"121",2012-01-01,-20.472,"Canada"
"122",2012-02-01,-16.499,"Canada"
"123",2012-03-01,-13.599,"Canada"
"124",2012-04-01,-5.276,"Canada"
"125",2012-05-01,4.045,"Canada"
"126",2012-06-01,11.008,"Canada"
"127",2012-07-01,14.796,"Canada"
"128",2012-08-01,13.045,"Canada"
"129",2012-09-01,7.907,"Canada"
"130",2012-10-01,-1.814,"Canada"
"131",2012-11-01,-12.093,"Canada"
"132",2012-12-01,-19.17,"Canada"
"133",2012-01-01,22.693,"Cape Verde"
"134",2012-02-01,21.677,"Cape Verde"
"135",2012-03-01,23.31,"Cape Verde"
"136",2012-04-01,22.872,"Cape Verde"
"137",2012-05-01,24.78,"Cape Verde"
"138",2012-06-01,25.131,"Cape Verde"
"139",2012-07-01,26.459,"Cape Verde"
"140",2012-08-01,28.134,"Cape Verde"
"141",2012-09-01,28.346,"Cape Verde"
"142",2012-10-01,27.78,"Cape Verde"
"143",2012-11-01,26.365,"Cape Verde"
"144",2012-12-01,23.695,"Cape Verde"
"145",2012-01-01,15.435,"Chile"
"146",2012-02-01,14.048,"Chile"
"147",2012-03-01,13.561,"Chile"
"148",2012-04-01,10.131,"Chile"
"149",2012-05-01,8.043,"Chile"
"150",2012-06-01,5.741,"Chile"
"151",2012-07-01,5.072,"Chile"
"152",2012-08-01,6.901,"Chile"
"153",2012-09-01,8.94,"Chile"
"154",2012-10-01,10.114,"Chile"
"155",2012-11-01,12.337,"Chile"
"156",2012-12-01,12.948,"Chile"
"157",2012-01-01,25.143,"Colombia"
"158",2012-02-01,25.453,"Colombia"
"159",2012-03-01,25.51,"Colombia"
"160",2012-04-01,24.977,"Colombia"
"161",2012-05-01,25.334,"Colombia"
"162",2012-06-01,25.659,"Colombia"
"163",2012-07-01,25.312,"Colombia"
"164",2012-08-01,25.529,"Colombia"
"165",2012-09-01,25.613,"Colombia"
"166",2012-10-01,25.243,"Colombia"
"167",2012-11-01,25.575,"Colombia"
"168",2012-12-01,25.228,"Colombia"
"169",2012-01-01,25.706,"Costa Rica"
"170",2012-02-01,26.717,"Costa Rica"
"171",2012-03-01,27.232,"Costa Rica"
"172",2012-04-01,27.044,"Costa Rica"
"173",2012-05-01,27.056,"Costa Rica"
"174",2012-06-01,26.786,"Costa Rica"
"175",2012-07-01,26.5,"Costa Rica"
"176",2012-08-01,26.794,"Costa Rica"
"177",2012-09-01,26.039,"Costa Rica"
"178",2012-10-01,24.912,"Costa Rica"
"179",2012-11-01,25.125,"Costa Rica"
"180",2012-12-01,25.473,"Costa Rica"
"181",2012-01-01,0.281,"Czech Republic"
"182",2012-02-01,-4.549,"Czech Republic"
"183",2012-03-01,6.145,"Czech Republic"
"184",2012-04-01,8.842,"Czech Republic"
"185",2012-05-01,14.982,"Czech Republic"
"186",2012-06-01,16.94,"Czech Republic"
"187",2012-07-01,19.052,"Czech Republic"
"188",2012-08-01,19.156,"Czech Republic"
"189",2012-09-01,14.289,"Czech Republic"
"190",2012-10-01,8.085,"Czech Republic"
"191",2012-11-01,5.046,"Czech Republic"
"192",2012-12-01,-1.138,"Czech Republic"
"193",2012-01-01,25.527,"Djibouti"
"194",2012-02-01,26.175,"Djibouti"
"195",2012-03-01,27.445,"Djibouti"
"196",2012-04-01,28.816,"Djibouti"
"197",2012-05-01,30.668,"Djibouti"
"198",2012-06-01,33.877,"Djibouti"
"199",2012-07-01,34.827,"Djibouti"
"200",2012-08-01,35.053,"Djibouti"
"201",2012-09-01,32.899,"Djibouti"
"202",2012-10-01,29.849,"Djibouti"
"203",2012-11-01,27.531,"Djibouti"
"204",2012-12-01,26.416,"Djibouti"
"205",2012-01-01,24.326,"Dominican Republic"
"206",2012-02-01,24.688,"Dominican Republic"
"207",2012-03-01,24.998,"Dominican Republic"
"208",2012-04-01,25.372,"Dominican Republic"
"209",2012-05-01,26.755,"Dominican Republic"
"210",2012-06-01,27.907,"Dominican Republic"
"211",2012-07-01,28.049,"Dominican Republic"
"212",2012-08-01,28.023,"Dominican Republic"
"213",2012-09-01,27.242,"Dominican Republic"
"214",2012-10-01,26.801,"Dominican Republic"
"215",2012-11-01,26.51,"Dominican Republic"
"216",2012-12-01,25.41,"Dominican Republic"
"217",2012-01-01,22.176,"Ecuador"
"218",2012-02-01,22.237,"Ecuador"
"219",2012-03-01,22.759,"Ecuador"
"220",2012-04-01,22.661,"Ecuador"
"221",2012-05-01,22.954,"Ecuador"
"222",2012-06-01,22.981,"Ecuador"
"223",2012-07-01,22.087,"Ecuador"
"224",2012-08-01,22.003,"Ecuador"
"225",2012-09-01,22.12,"Ecuador"
"226",2012-10-01,22.254,"Ecuador"
"227",2012-11-01,22.686,"Ecuador"
"228",2012-12-01,22.433,"Ecuador"
"229",2012-01-01,26.216,"Equatorial Guinea"
"230",2012-02-01,25.971,"Equatorial Guinea"
"231",2012-03-01,27.106,"Equatorial Guinea"
"232",2012-04-01,26.548,"Equatorial Guinea"
"233",2012-05-01,25.982,"Equatorial Guinea"
"234",2012-06-01,25.061,"Equatorial Guinea"
"235",2012-07-01,23.863,"Equatorial Guinea"
"236",2012-08-01,24.39,"Equatorial Guinea"
"237",2012-09-01,24.88,"Equatorial Guinea"
"238",2012-10-01,25.047,"Equatorial Guinea"
"239",2012-11-01,25.453,"Equatorial Guinea"
"240",2012-12-01,25.925,"Equatorial Guinea"
"241",2012-01-01,26.517,"Fiji"
"242",2012-02-01,26.478,"Fiji"
"243",2012-03-01,27.094,"Fiji"
"244",2012-04-01,25.966,"Fiji"
"245",2012-05-01,24.967,"Fiji"
"246",2012-06-01,24.28,"Fiji"
"247",2012-07-01,24.095,"Fiji"
"248",2012-08-01,24.076,"Fiji"
"249",2012-09-01,24.402,"Fiji"
"250",2012-10-01,25.261,"Fiji"
"251",2012-11-01,25.743,"Fiji"
"252",2012-12-01,26.86,"Fiji"
"253",2012-01-01,25.137,"Gabon"
"254",2012-02-01,24.996,"Gabon"
"255",2012-03-01,26.291,"Gabon"
"256",2012-04-01,25.962,"Gabon"
"257",2012-05-01,25.437,"Gabon"
"258",2012-06-01,24.096,"Gabon"
"259",2012-07-01,23.042,"Gabon"
"260",2012-08-01,23.652,"Gabon"
"261",2012-09-01,24.492,"Gabon"
"262",2012-10-01,24.895,"Gabon"
"263",2012-11-01,24.999,"Gabon"
"264",2012-12-01,24.981,"Gabon"
"265",2012-01-01,21.803,"Guatemala"
"266",2012-02-01,22.957,"Guatemala"
"267",2012-03-01,23.793,"Guatemala"
"268",2012-04-01,24.924,"Guatemala"
"269",2012-05-01,25.657,"Guatemala"
"270",2012-06-01,25.17,"Guatemala"
"271",2012-07-01,24.643,"Guatemala"
"272",2012-08-01,24.662,"Guatemala"
"273",2012-09-01,24.753,"Guatemala"
"274",2012-10-01,23.381,"Guatemala"
"275",2012-11-01,22.346,"Guatemala"
"276",2012-12-01,22.089,"Guatemala"
"277",2012-01-01,25.911,"Guyana"
"278",2012-02-01,25.902,"Guyana"
"279",2012-03-01,26.585,"Guyana"
"280",2012-04-01,26.431,"Guyana"
"281",2012-05-01,26.537,"Guyana"
"282",2012-06-01,26.401,"Guyana"
"283",2012-07-01,26.154,"Guyana"
"284",2012-08-01,26.927,"Guyana"
"285",2012-09-01,27.863,"Guyana"
"286",2012-10-01,27.843,"Guyana"
"287",2012-11-01,28.01,"Guyana"
"288",2012-12-01,27.038,"Guyana"
"289",2012-01-01,23.646,"Honduras"
"290",2012-02-01,24.71,"Honduras"
"291",2012-03-01,26.091,"Honduras"
"292",2012-04-01,26.872,"Honduras"
"293",2012-05-01,26.847,"Honduras"
"294",2012-06-01,26.467,"Honduras"
"295",2012-07-01,25.695,"Honduras"
"296",2012-08-01,25.892,"Honduras"
"297",2012-09-01,25.874,"Honduras"
"298",2012-10-01,24.596,"Honduras"
"299",2012-11-01,23.025,"Honduras"
"300",2012-12-01,23.412,"Honduras"
"301",2012-01-01,10.767,"Israel"
"302",2012-02-01,12.046,"Israel"
"303",2012-03-01,14.268,"Israel"
"304",2012-04-01,20.282,"Israel"
"305",2012-05-01,23.85,"Israel"
"306",2012-06-01,27.362,"Israel"
"307",2012-07-01,29.583,"Israel"
"308",2012-08-01,28.955,"Israel"
"309",2012-09-01,27.232,"Israel"
"310",2012-10-01,24.231,"Israel"
"311",2012-11-01,19.342,"Israel"
"312",2012-12-01,14.155,"Israel"
"313",2012-01-01,13,"Kuwait"
"314",2012-02-01,14.724,"Kuwait"
"315",2012-03-01,18.321,"Kuwait"
"316",2012-04-01,26.141,"Kuwait"
"317",2012-05-01,33.489,"Kuwait"
"318",2012-06-01,36.956,"Kuwait"
"319",2012-07-01,38.842,"Kuwait"
"320",2012-08-01,38.02,"Kuwait"
"321",2012-09-01,33.848,"Kuwait"
"322",2012-10-01,29.082,"Kuwait"
"323",2012-11-01,21.5,"Kuwait"
"324",2012-12-01,16.184,"Kuwait"
"325",2012-01-01,12.028,"Libya"
"326",2012-02-01,14.064,"Libya"
"327",2012-03-01,17.412,"Libya"
"328",2012-04-01,25.268,"Libya"
"329",2012-05-01,28.385,"Libya"
"330",2012-06-01,30.59,"Libya"
"331",2012-07-01,31.051,"Libya"
"332",2012-08-01,30.556,"Libya"
"333",2012-09-01,28.936,"Libya"
"334",2012-10-01,26.033,"Libya"
"335",2012-11-01,20.609,"Libya"
"336",2012-12-01,14.316,"Libya"
"337",2012-01-01,3.678,"Luxembourg"
"338",2012-02-01,-0.899,"Luxembourg"
"339",2012-03-01,8.467,"Luxembourg"
"340",2012-04-01,8.331,"Luxembourg"
"341",2012-05-01,14.622,"Luxembourg"
"342",2012-06-01,15.486,"Luxembourg"
"343",2012-07-01,17.773,"Luxembourg"
"344",2012-08-01,19.398,"Luxembourg"
"345",2012-09-01,14.302,"Luxembourg"
"346",2012-10-01,10.111,"Luxembourg"
"347",2012-11-01,6.236,"Luxembourg"
"348",2012-12-01,3.806,"Luxembourg"
"349",2012-01-01,16.185,"Mexico"
"350",2012-02-01,16.951,"Mexico"
"351",2012-03-01,19.947,"Mexico"
"352",2012-04-01,22.474,"Mexico"
"353",2012-05-01,24.957,"Mexico"
"354",2012-06-01,26.097,"Mexico"
"355",2012-07-01,25.298,"Mexico"
"356",2012-08-01,25.681,"Mexico"
"357",2012-09-01,24.224,"Mexico"
"358",2012-10-01,22.289,"Mexico"
"359",2012-11-01,19.107,"Mexico"
"360",2012-12-01,16.619,"Mexico"
"361",2012-01-01,-3.031,"Moldova"
"362",2012-02-01,-8.23,"Moldova"
"363",2012-03-01,3.85,"Moldova"
"364",2012-04-01,12.285,"Moldova"
"365",2012-05-01,18.411,"Moldova"
"366",2012-06-01,22.294,"Moldova"
"367",2012-07-01,25.231,"Moldova"
"368",2012-08-01,22.626,"Moldova"
"369",2012-09-01,18.386,"Moldova"
"370",2012-10-01,12.354,"Moldova"
"371",2012-11-01,6.005,"Moldova"
"372",2012-12-01,-3.13,"Moldova"
"373",2012-01-01,-0.78,"Montenegro"
"374",2012-02-01,-2.518,"Montenegro"
"375",2012-03-01,7.371,"Montenegro"
"376",2012-04-01,10.323,"Montenegro"
"377",2012-05-01,14.822,"Montenegro"
"378",2012-06-01,21.182,"Montenegro"
"379",2012-07-01,24.234,"Montenegro"
"380",2012-08-01,23.44,"Montenegro"
"381",2012-09-01,18.692,"Montenegro"
"382",2012-10-01,12.868,"Montenegro"
"383",2012-11-01,8.48,"Montenegro"
"384",2012-12-01,0.268,"Montenegro"
"385",2012-01-01,9.462,"Morocco"
"386",2012-02-01,9.324,"Morocco"
"387",2012-03-01,14.943,"Morocco"
"388",2012-04-01,15.681,"Morocco"
"389",2012-05-01,22.461,"Morocco"
"390",2012-06-01,25.535,"Morocco"
"391",2012-07-01,28.392,"Morocco"
"392",2012-08-01,28.125,"Morocco"
"393",2012-09-01,24.072,"Morocco"
"394",2012-10-01,19.978,"Morocco"
"395",2012-11-01,15.136,"Morocco"
"396",2012-12-01,10.916,"Morocco"
"397",2012-01-01,24.222,"Namibia"
"398",2012-02-01,22.96,"Namibia"
"399",2012-03-01,23.352,"Namibia"
"400",2012-04-01,20.599,"Namibia"
"401",2012-05-01,17.728,"Namibia"
"402",2012-06-01,14.933,"Namibia"
"403",2012-07-01,14.798,"Namibia"
"404",2012-08-01,17.847,"Namibia"
"405",2012-09-01,19.859,"Namibia"
"406",2012-10-01,22.795,"Namibia"
"407",2012-11-01,25.18,"Namibia"
"408",2012-12-01,25.267,"Namibia"
"409",2012-01-01,14.968,"New Zealand"
"410",2012-02-01,15.077,"New Zealand"
"411",2012-03-01,13.199,"New Zealand"
"412",2012-04-01,11.7,"New Zealand"
"413",2012-05-01,8.39,"New Zealand"
"414",2012-06-01,5.838,"New Zealand"
"415",2012-07-01,6.03,"New Zealand"
"416",2012-08-01,7.462,"New Zealand"
"417",2012-09-01,8.987,"New Zealand"
"418",2012-10-01,9.913,"New Zealand"
"419",2012-11-01,11.271,"New Zealand"
"420",2012-12-01,15.048,"New Zealand"
"421",2012-01-01,20.315,"Oman"
"422",2012-02-01,21.586,"Oman"
"423",2012-03-01,24.993,"Oman"
"424",2012-04-01,28.988,"Oman"
"425",2012-05-01,33.056,"Oman"
"426",2012-06-01,34.682,"Oman"
"427",2012-07-01,33.372,"Oman"
"428",2012-08-01,32.842,"Oman"
"429",2012-09-01,31.969,"Oman"
"430",2012-10-01,29.005,"Oman"
"431",2012-11-01,25.343,"Oman"
"432",2012-12-01,22.388,"Oman"
"433",2012-01-01,26.679,"Panama"
"434",2012-02-01,27.249,"Panama"
"435",2012-03-01,27.904,"Panama"
"436",2012-04-01,27.396,"Panama"
"437",2012-05-01,27.621,"Panama"
"438",2012-06-01,27.644,"Panama"
"439",2012-07-01,27.349,"Panama"
"440",2012-08-01,27.452,"Panama"
"441",2012-09-01,27.069,"Panama"
"442",2012-10-01,25.752,"Panama"
"443",2012-11-01,26.304,"Panama"
"444",2012-12-01,26.571,"Panama"
"445",2012-01-01,25.096,"Papua New Guinea"
"446",2012-02-01,25.368,"Papua New Guinea"
"447",2012-03-01,25.133,"Papua New Guinea"
"448",2012-04-01,24.83,"Papua New Guinea"
"449",2012-05-01,24.696,"Papua New Guinea"
"450",2012-06-01,23.972,"Papua New Guinea"
"451",2012-07-01,24.133,"Papua New Guinea"
"452",2012-08-01,24.138,"Papua New Guinea"
"453",2012-09-01,24.723,"Papua New Guinea"
"454",2012-10-01,25.058,"Papua New Guinea"
"455",2012-11-01,25.241,"Papua New Guinea"
"456",2012-12-01,25.735,"Papua New Guinea"
"457",2012-01-01,28.314,"Paraguay"
"458",2012-02-01,28.153,"Paraguay"
"459",2012-03-01,26.146,"Paraguay"
"460",2012-04-01,23.496,"Paraguay"
"461",2012-05-01,21.328,"Paraguay"
"462",2012-06-01,18.831,"Paraguay"
"463",2012-07-01,17.144,"Paraguay"
"464",2012-08-01,22.281,"Paraguay"
"465",2012-09-01,24.907,"Paraguay"
"466",2012-10-01,27.084,"Paraguay"
"467",2012-11-01,27.22,"Paraguay"
"468",2012-12-01,28.685,"Paraguay"
"469",2012-01-01,20.607,"Peru"
"470",2012-02-01,20.234,"Peru"
"471",2012-03-01,20.707,"Peru"
"472",2012-04-01,20.63,"Peru"
"473",2012-05-01,20.375,"Peru"
"474",2012-06-01,19.959,"Peru"
"475",2012-07-01,19.655,"Peru"
"476",2012-08-01,20.131,"Peru"
"477",2012-09-01,20.621,"Peru"
"478",2012-10-01,20.739,"Peru"
"479",2012-11-01,21.247,"Peru"
"480",2012-12-01,20.615,"Peru"
"481",2012-01-01,17.794,"Qatar"
"482",2012-02-01,18.734,"Qatar"
"483",2012-03-01,21.44,"Qatar"
"484",2012-04-01,27.423,"Qatar"
"485",2012-05-01,34.137,"Qatar"
"486",2012-06-01,36.163,"Qatar"
"487",2012-07-01,37.603,"Qatar"
"488",2012-08-01,37.017,"Qatar"
"489",2012-09-01,34.424,"Qatar"
"490",2012-10-01,30.878,"Qatar"
"491",2012-11-01,25.407,"Qatar"
"492",2012-12-01,20.794,"Qatar"
"493",2012-01-01,6.424,"San Marino"
"494",2012-02-01,3.447,"San Marino"
"495",2012-03-01,12.058,"San Marino"
"496",2012-04-01,12.847,"San Marino"
"497",2012-05-01,16.628,"San Marino"
"498",2012-06-01,22.18,"San Marino"
"499",2012-07-01,25.078,"San Marino"
"500",2012-08-01,25.792,"San Marino"
"501",2012-09-01,20.726,"San Marino"
"502",2012-10-01,16.897,"San Marino"
"503",2012-11-01,14.156,"San Marino"
"504",2012-12-01,7.702,"San Marino"
"505",2012-01-01,26.842,"Singapore"
"506",2012-02-01,26.955,"Singapore"
"507",2012-03-01,27.058,"Singapore"
"508",2012-04-01,27.278,"Singapore"
"509",2012-05-01,28,"Singapore"
"510",2012-06-01,28.372,"Singapore"
"511",2012-07-01,27.445,"Singapore"
"512",2012-08-01,27.556,"Singapore"
"513",2012-09-01,27.551,"Singapore"
"514",2012-10-01,27.192,"Singapore"
"515",2012-11-01,26.951,"Singapore"
"516",2012-12-01,26.443,"Singapore"
"517",2012-01-01,27.491,"Solomon Islands"
"518",2012-02-01,27.262,"Solomon Islands"
"519",2012-03-01,27.663,"Solomon Islands"
"520",2012-04-01,27.308,"Solomon Islands"
"521",2012-05-01,27.225,"Solomon Islands"
"522",2012-06-01,27.118,"Solomon Islands"
"523",2012-07-01,26.915,"Solomon Islands"
"524",2012-08-01,27.439,"Solomon Islands"
"525",2012-09-01,26.743,"Solomon Islands"
"526",2012-10-01,26.995,"Solomon Islands"
"527",2012-11-01,26.784,"Solomon Islands"
"528",2012-12-01,27.217,"Solomon Islands"
"529",2012-01-01,24.024,"South Africa"
"530",2012-02-01,23.04,"South Africa"
"531",2012-03-01,21.742,"South Africa"
"532",2012-04-01,16.941,"South Africa"
"533",2012-05-01,14.893,"South Africa"
"534",2012-06-01,11.436,"South Africa"
"535",2012-07-01,10.952,"South Africa"
"536",2012-08-01,13.253,"South Africa"
"537",2012-09-01,15.505,"South Africa"
"538",2012-10-01,18.507,"South Africa"
"539",2012-11-01,21.379,"South Africa"
"540",2012-12-01,22.491,"South Africa"
"541",2012-01-01,6.543,"Spain"
"542",2012-02-01,5.31,"Spain"
"543",2012-03-01,10.979,"Spain"
"544",2012-04-01,11.121,"Spain"
"545",2012-05-01,17.767,"Spain"
"546",2012-06-01,21.717,"Spain"
"547",2012-07-01,23.242,"Spain"
"548",2012-08-01,24.611,"Spain"
"549",2012-09-01,20.287,"Spain"
"550",2012-10-01,15.244,"Spain"
"551",2012-11-01,10.458,"Spain"
"552",2012-12-01,7.681,"Spain"
"553",2012-01-01,25.992,"Suriname"
"554",2012-02-01,25.766,"Suriname"
"555",2012-03-01,26.553,"Suriname"
"556",2012-04-01,26.624,"Suriname"
"557",2012-05-01,26.801,"Suriname"
"558",2012-06-01,26.767,"Suriname"
"559",2012-07-01,26.938,"Suriname"
"560",2012-08-01,27.703,"Suriname"
"561",2012-09-01,28.497,"Suriname"
"562",2012-10-01,28.583,"Suriname"
"563",2012-11-01,28.591,"Suriname"
"564",2012-12-01,27.458,"Suriname"
"565",2012-01-01,23.176,"Swaziland"
"566",2012-02-01,23.607,"Swaziland"
"567",2012-03-01,22.076,"Swaziland"
"568",2012-04-01,18.733,"Swaziland"
"569",2012-05-01,18.052,"Swaziland"
"570",2012-06-01,15.429,"Swaziland"
"571",2012-07-01,14.529,"Swaziland"
"572",2012-08-01,17.193,"Swaziland"
"573",2012-09-01,18.028,"Swaziland"
"574",2012-10-01,20.437,"Swaziland"
"575",2012-11-01,21.075,"Swaziland"
"576",2012-12-01,22.526,"Swaziland"
"577",2012-01-01,-0.0669999999999997,"Switzerland"
"578",2012-02-01,-4.513,"Switzerland"
"579",2012-03-01,6.19,"Switzerland"
"580",2012-04-01,6.996,"Switzerland"
"581",2012-05-01,12.569,"Switzerland"
"582",2012-06-01,15.525,"Switzerland"
"583",2012-07-01,16.954,"Switzerland"
"584",2012-08-01,18.243,"Switzerland"
"585",2012-09-01,13.119,"Switzerland"
"586",2012-10-01,8.436,"Switzerland"
"587",2012-11-01,4.478,"Switzerland"
"588",2012-12-01,-0.019,"Switzerland"
"589",2012-01-01,19.35,"United Arab Emirates"
"590",2012-02-01,20.724,"United Arab Emirates"
"591",2012-03-01,24.293,"United Arab Emirates"
"592",2012-04-01,29.021,"United Arab Emirates"
"593",2012-05-01,34.848,"United Arab Emirates"
"594",2012-06-01,36.308,"United Arab Emirates"
"595",2012-07-01,37.713,"United Arab Emirates"
"596",2012-08-01,37.288,"United Arab Emirates"
"597",2012-09-01,35.25,"United Arab Emirates"
"598",2012-10-01,30.769,"United Arab Emirates"
"599",2012-11-01,25.752,"United Arab Emirates"
"600",2012-12-01,21.794,"United Arab Emirates"
"601",2012-01-01,-2.268,"United States"
"602",2012-02-01,0.582,"United States"
"603",2012-03-01,6.024,"United States"
"604",2012-04-01,10.196,"United States"
"605",2012-05-01,15.422,"United States"
"606",2012-06-01,19.954,"United States"
"607",2012-07-01,23.008,"United States"
"608",2012-08-01,21.422,"United States"
"609",2012-09-01,17.036,"United States"
"610",2012-10-01,9.688,"United States"
"611",2012-11-01,3.33,"United States"
"612",2012-12-01,-1.261,"United States"
